Cinsiyet,65 Yaş Üstü,Medeni Durum,Bakma Sorumluluğu,Müşteri Olma Süresi(Ay),Ev Telefonu Aboneliği,Birden Fazla Abonelik Durumu,İnternet Aboneliği,Güvenlik Hizmeti Aboneliği,Yedekleme Hizmeti Aboneliği,Ekipman Güvenlik Aboneliği,Teknik Destek Aboneliği,IP Tv Aboneliği,Film Abonelği,Sözleşme Süresi,Online Fatura(Kağıtsız),Ödeme Şekli,Aylık Ücret,Toplam Ücret,Kayıp Durumu
Kadın,Hayır,Evli,Var,5,Yok,Telefon Hizmeti Yok,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Mail,25.05,125.5,Yok
Kadın,Hayır,Evli,Yok,15,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Var,Var,1 Aylık,Hayır,Elektronik,88.15,1390.6,Var
Erkek,Hayır,Bekar,Yok,1,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Evet,Mail,20.2,20.2,Var
Erkek,Hayır,Evli,Var,41,Var,Yok,DSL,Var,Var,Var,Yok,Yok,Yok,1 Yıllık,Evet,Havale,60.3,2511.3,Yok
Kadın,Hayır,Bekar,Var,43,Var,Yok,DSL,Var,Var,Yok,Yok,Yok,Var,1 Aylık,Evet,Elektronik,63.95,2737.05,Yok
Erkek,Evet,Evli,Yok,1,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Elektronik,74.3,74.3,Yok
Kadın,Evet,Bekar,Yok,1,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Mail,70.6,70.6,Yok
Kadın,Hayır,Evli,Var,26,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,90.8,2361.8,Var
Erkek,Hayır,Bekar,Yok,22,Var,Var,Fiber Optik,Yok,Var,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,79.35,1730.35,Var
Erkek,Hayır,Evli,Yok,71,Var,Var,DSL,Var,Var,Var,Var,Var,Var,2 Yıllık,Hayır,Havale,90.55,6404.0,Yok
Erkek,Hayır,Bekar,Yok,7,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Mail,19.45,165.35,Yok
Kadın,Evet,Bekar,Yok,28,Var,Var,DSL,Yok,Var,Var,Var,Yok,Yok,1 Aylık,Hayır,Havale,64.45,1867.6,Yok
Erkek,Evet,Bekar,Yok,16,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Elektronik,69.65,1043.3,Yok
Erkek,Hayır,Bekar,Yok,7,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Yıllık,Hayır,Mail,19.5,128.6,Yok
Kadın,Hayır,Bekar,Yok,69,Var,Var,Fiber Optik,Yok,Var,Var,Var,Var,Var,2 Yıllık,Evet,Havale,110.5,7455.45,Yok
Kadın,Hayır,Bekar,Var,1,Yok,Telefon Hizmeti Yok,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Mail,24.7,24.7,Yok
Erkek,Hayır,Bekar,Yok,3,Var,Yok,DSL,Var,Yok,Var,Yok,Var,Var,1 Aylık,Evet,Elektronik,77.4,206.15,Yok
Erkek,Evet,Bekar,Yok,21,Var,Yok,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,1 Aylık,Evet,Havale,96.8,2030.3,Var
Kadın,Hayır,Evli,Yok,69,Var,Var,Fiber Optik,Yok,Var,Var,Yok,Yok,Yok,1 Aylık,Evet,Havale,85.4,5869.4,Yok
Kadın,Hayır,Evli,Yok,71,Yok,Telefon Hizmeti Yok,DSL,Var,Var,Var,Var,Yok,Yok,2 Yıllık,Evet,Havale,47.6,3377.8,Yok
Kadın,Hayır,Evli,Var,69,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Mail,19.4,1346.2,Yok
Kadın,Hayır,Bekar,Yok,48,Var,Var,Fiber Optik,Yok,Yok,Var,Var,Var,Var,1 Aylık,Evet,Elektronik,103.85,4946.05,Yok
Erkek,Hayır,Evli,Yok,47,Var,Var,Fiber Optik,Yok,Var,Var,Yok,Yok,Yok,1 Aylık,Evet,Havale,83.35,4065.0,Var
Kadın,Hayır,Bekar,Yok,2,Var,Var,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,49.4,106.55,Var
Erkek,Hayır,Bekar,Yok,45,Var,Var,Fiber Optik,Var,Yok,Var,Var,Var,Var,1 Aylık,Evet,Kredi Kartı,108.45,4964.7,Yok
Erkek,Hayır,Bekar,Yok,51,Var,Var,Fiber Optik,Yok,Var,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Havale,81.0,4085.75,Yok
Kadın,Hayır,Evli,Yok,22,Var,Var,DSL,Var,Yok,Yok,Var,Var,Var,1 Aylık,Evet,Elektronik,79.2,1742.75,Var
Erkek,Hayır,Bekar,Yok,72,Var,Var,DSL,Var,Var,Var,Var,Var,Var,2 Yıllık,Hayır,Havale,86.65,6224.8,Yok
Erkek,Hayır,Evli,Var,37,Var,Var,Fiber Optik,Yok,Var,Var,Yok,Var,Yok,1 Aylık,Evet,Elektronik,92.95,3415.25,Yok
Erkek,Hayır,Evli,Var,71,Var,Var,DSL,Var,Var,Var,Var,Var,Var,2 Yıllık,Hayır,Elektronik,90.35,6325.25,Yok
Erkek,Hayır,Evli,Var,7,Var,Yok,DSL,Yok,Yok,Var,Yok,Yok,Yok,1 Aylık,Hayır,Elektronik,48.7,340.25,Var
Kadın,Hayır,Bekar,Yok,66,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Evet,Kredi Kartı,25.15,1683.6,Yok
Erkek,Hayır,Evli,Var,51,Var,Yok,DSL,Var,Yok,Yok,Var,Var,Var,1 Yıllık,Evet,Havale,76.4,3966.3,Yok
Kadın,Hayır,Evli,Var,30,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Yıllık,Hayır,Havale,19.55,608.5,Yok
Kadın,Hayır,Bekar,Yok,34,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Var,Yok,1 Aylık,Hayır,Elektronik,85.35,2896.6,Yok
Erkek,Hayır,Evli,Var,64,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Evet,Mail,24.8,1514.85,Yok
Erkek,Evet,Evli,Yok,65,Var,Var,Fiber Optik,Yok,Var,Var,Yok,Var,Var,1 Yıllık,Evet,Havale,103.15,6792.45,Yok
Erkek,Hayır,Bekar,Yok,47,Var,Var,Fiber Optik,Var,Var,Yok,Var,Var,Yok,1 Aylık,Hayır,Mail,100.75,4669.2,Yok
Kadın,Hayır,Bekar,Yok,1,Var,Yok,Fiber Optik,Var,Yok,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,95.6,95.6,Var
Kadın,Hayır,Bekar,Yok,49,Var,Var,DSL,Var,Var,Yok,Yok,Yok,Yok,1 Aylık,Evet,Kredi Kartı,59.75,2934.3,Var
Kadın,Hayır,Evli,Var,67,Var,Var,Fiber Optik,Yok,Var,Yok,Var,Var,Yok,2 Yıllık,Hayır,Kredi Kartı,94.1,6302.8,Yok
Erkek,Hayır,Bekar,Var,39,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Yıllık,Hayır,Havale,19.35,779.2,Yok
Erkek,Hayır,Bekar,Yok,14,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Mail,19.9,283.75,Yok
Kadın,Evet,Bekar,Yok,43,Var,Yok,Fiber Optik,Var,Var,Yok,Var,Var,Var,1 Aylık,Evet,Kredi Kartı,108.15,4600.7,Var
Erkek,Evet,Bekar,Yok,56,Var,Var,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,1 Aylık,Evet,Elektronik,101.05,5594.0,Yok
Kadın,Hayır,Bekar,Yok,14,Var,Yok,DSL,Yok,Yok,Yok,Var,Yok,Var,1 Yıllık,Hayır,Kredi Kartı,59.1,772.85,Yok
Kadın,Hayır,Bekar,Yok,1,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Elektronik,71.35,71.35,Var
Erkek,Hayır,Evli,Var,16,Var,Yok,DSL,Var,Var,Yok,Yok,Yok,Yok,1 Yıllık,Evet,Mail,55.85,857.8,Yok
Erkek,Hayır,Evli,Var,70,Var,Var,Fiber Optik,Var,Var,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,106.05,7554.05,Yok
Erkek,Evet,Evli,Yok,72,Var,Var,DSL,Var,Var,Var,Yok,Var,Var,2 Yıllık,Evet,Kredi Kartı,84.1,5981.65,Yok
Kadın,Hayır,Evli,Var,23,Var,Yok,Fiber Optik,Yok,Yok,Var,Yok,Yok,Yok,1 Aylık,Evet,Kredi Kartı,75.3,1702.9,Yok
Erkek,Hayır,Bekar,Var,21,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Mail,24.7,467.15,Yok
Kadın,Hayır,Bekar,Yok,1,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Evet,Mail,20.15,20.15,Var
Erkek,Hayır,Bekar,Var,1,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Havale,69.75,69.75,Var
Kadın,Evet,Evli,Yok,32,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,93.2,2931.0,Var
Erkek,Hayır,Evli,Var,17,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Var,Yok,1 Aylık,Hayır,Elektronik,80.85,1400.85,Var
Kadın,Hayır,Bekar,Yok,4,Yok,Telefon Hizmeti Yok,DSL,Var,Var,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,33.65,137.85,Var
Kadın,Hayır,Bekar,Yok,36,Var,Var,DSL,Yok,Yok,Var,Yok,Yok,Yok,1 Yıllık,Hayır,Elektronik,55.8,1941.5,Yok
Kadın,Hayır,Bekar,Yok,50,Yok,Telefon Hizmeti Yok,DSL,Yok,Var,Var,Var,Yok,Yok,2 Yıllık,Hayır,Kredi Kartı,39.7,1932.75,Yok
Kadın,Hayır,Evli,Var,48,Yok,Telefon Hizmeti Yok,DSL,Yok,Yok,Yok,Var,Yok,Yok,1 Aylık,Evet,Kredi Kartı,29.5,1423.05,Yok
Kadın,Hayır,Bekar,Var,50,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Kredi Kartı,20.15,970.85,Yok
Erkek,Hayır,Evli,Yok,72,Var,Var,DSL,Var,Var,Var,Var,Yok,Var,2 Yıllık,Hayır,Kredi Kartı,79.55,5810.9,Yok
Erkek,Hayır,Bekar,Var,10,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Kredi Kartı,24.8,223.9,Yok
Kadın,Hayır,Bekar,Yok,18,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Mail,19.65,391.7,Yok
Erkek,Hayır,Bekar,Yok,1,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Var,Yok,1 Aylık,Evet,Elektronik,79.95,79.95,Var
Kadın,Hayır,Bekar,Yok,1,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Elektronik,19.3,19.3,Var
Erkek,Hayır,Bekar,Yok,9,Var,Yok,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,1 Aylık,Evet,Elektronik,94.05,811.65,Yok
Erkek,Hayır,Bekar,Yok,2,Var,Var,Fiber Optik,Var,Yok,Yok,Yok,Yok,Var,1 Aylık,Hayır,Mail,90.75,174.75,Yok
Kadın,Hayır,Evli,Yok,40,Var,Var,Fiber Optik,Yok,Yok,Yok,Var,Yok,Yok,1 Aylık,Evet,Kredi Kartı,78.85,3126.85,Yok
Erkek,Hayır,Evli,Yok,69,Var,Var,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,1 Yıllık,Hayır,Havale,99.5,6841.45,Yok
Kadın,Hayır,Evli,Yok,37,Var,Var,Fiber Optik,Var,Yok,Var,Var,Yok,Var,1 Yıllık,Evet,Elektronik,99.2,3754.6,Var
Erkek,Hayır,Bekar,Var,18,Var,Var,Fiber Optik,Yok,Yok,Var,Yok,Yok,Yok,1 Aylık,Evet,Kredi Kartı,80.55,1406.65,Yok
Erkek,Evet,Evli,Yok,11,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,70.2,834.7,Yok
Kadın,Hayır,Evli,Yok,8,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Var,1 Aylık,Evet,Kredi Kartı,85.2,627.4,Var
Kadın,Hayır,Bekar,Yok,3,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Elektronik,75.25,242.0,Var
Erkek,Hayır,Evli,Var,55,Var,Yok,DSL,Var,Yok,Yok,Yok,Yok,Var,1 Yıllık,Hayır,Kredi Kartı,59.45,3157.0,Yok
Erkek,Hayır,Evli,Yok,33,Var,Var,Fiber Optik,Yok,Var,Var,Yok,Yok,Var,1 Aylık,Evet,Elektronik,93.35,3092.0,Yok
Kadın,Hayır,Bekar,Yok,46,Var,Yok,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Havale,44.95,2168.9,Yok
Erkek,Hayır,Bekar,Yok,34,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Havale,26.1,980.35,Yok
Kadın,Hayır,Bekar,Yok,3,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Elektronik,20.2,65.95,Yok
Erkek,Hayır,Evli,Var,30,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Mail,21.25,711.9,Yok
Kadın,Hayır,Bekar,Yok,33,Var,Var,DSL,Var,Yok,Yok,Var,Yok,Yok,1 Yıllık,Hayır,Elektronik,59.4,1952.8,Yok
Erkek,Hayır,Evli,Var,45,Var,Var,Fiber Optik,Yok,Var,Var,Yok,Yok,Var,1 Yıllık,Evet,Kredi Kartı,95.0,4368.85,Yok
Erkek,Hayır,Bekar,Yok,40,Var,Yok,DSL,Var,Var,Yok,Var,Yok,Yok,1 Aylık,Evet,Mail,61.9,2647.1,Yok
Kadın,Hayır,Bekar,Yok,71,Var,Var,Fiber Optik,Var,Var,Var,Var,Var,Var,2 Yıllık,Evet,Elektronik,118.65,8477.6,Yok
Erkek,Hayır,Bekar,Yok,1,Var,Var,DSL,Yok,Yok,Var,Yok,Yok,Yok,1 Aylık,Hayır,Elektronik,54.35,54.35,Var
Kadın,Hayır,Evli,Var,72,Yok,Telefon Hizmeti Yok,DSL,Var,Var,Var,Var,Var,Var,2 Yıllık,Hayır,Havale,64.45,4528.0,Yok
Kadın,Hayır,Evli,Var,22,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Var,1 Aylık,Evet,Elektronik,80.15,1790.65,Yok
Erkek,Hayır,Evli,Var,46,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Yıllık,Evet,Havale,20.2,845.6,Yok
Kadın,Hayır,Evli,Var,55,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Mail,21.0,1210.3,Yok
Erkek,Hayır,Bekar,Yok,1,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Mail,20.45,20.45,Yok
Kadın,Hayır,Bekar,Yok,12,Var,Var,DSL,Yok,Yok,Yok,Var,Var,Var,1 Yıllık,Evet,Mail,75.85,854.45,Yok
Erkek,Hayır,Bekar,Yok,31,Var,Var,Fiber Optik,Yok,Var,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,80.45,2429.1,Yok
Erkek,Hayır,Evli,Yok,5,Yok,Telefon Hizmeti Yok,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,24.95,100.4,Var
Kadın,Hayır,Evli,Var,67,Var,Var,DSL,Var,Yok,Yok,Yok,Var,Var,2 Yıllık,Evet,Elektronik,75.5,5229.45,Yok
Erkek,Hayır,Bekar,Yok,1,Var,Yok,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Mail,44.45,44.45,Yok
Erkek,Hayır,Evli,Yok,40,Yok,Telefon Hizmeti Yok,DSL,Var,Var,Var,Yok,Yok,Yok,1 Yıllık,Evet,Elektronik,42.35,1716.45,Var
Erkek,Hayır,Evli,Var,41,Var,Var,DSL,Var,Var,Var,Yok,Var,Yok,1 Aylık,Evet,Kredi Kartı,74.55,3023.55,Yok
Erkek,Hayır,Bekar,Yok,1,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,75.3,75.3,Var
Erkek,Hayır,Bekar,Yok,51,Var,Var,Fiber Optik,Var,Var,Yok,Yok,Var,Yok,1 Yıllık,Evet,Elektronik,94.8,4837.6,Var
Erkek,Hayır,Evli,Var,42,Yok,Telefon Hizmeti Yok,DSL,Var,Yok,Var,Var,Var,Yok,2 Yıllık,Hayır,Kredi Kartı,48.15,2032.3,Yok
Erkek,Hayır,Evli,Var,23,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Yıllık,Hayır,Mail,19.65,436.9,Yok
Kadın,Evet,Bekar,Yok,1,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,70.55,70.55,Var
Kadın,Hayır,Bekar,Yok,1,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Mail,20.15,20.15,Yok
Kadın,Hayır,Bekar,Yok,56,Var,Var,Fiber Optik,Var,Var,Yok,Yok,Var,Var,1 Aylık,Evet,Kredi Kartı,106.6,5893.95,Yok
Erkek,Hayır,Bekar,Var,15,Var,Var,Fiber Optik,Yok,Var,Yok,Yok,Var,Yok,1 Aylık,Evet,Elektronik,91.0,1430.05,Yok
Erkek,Hayır,Evli,Var,12,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Evet,Havale,25.4,313.0,Yok
Kadın,Hayır,Evli,Var,54,Var,Yok,DSL,Var,Yok,Var,Var,Yok,Var,2 Yıllık,Hayır,Havale,69.95,3871.85,Yok
Kadın,Hayır,Bekar,Yok,7,Var,Yok,DSL,Yok,Yok,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,66.85,458.1,Yok
Kadın,Hayır,Evli,Var,33,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Var,1 Aylık,Hayır,Kredi Kartı,86.15,2745.7,Var
Erkek,Hayır,Evli,Var,16,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Elektronik,20.15,341.35,Yok
Kadın,Hayır,Bekar,Var,21,Var,Yok,DSL,Var,Yok,Var,Yok,Yok,Var,1 Yıllık,Hayır,Mail,64.85,1336.8,Yok
Erkek,Evet,Evli,Yok,30,Var,Var,DSL,Yok,Yok,Var,Yok,Var,Var,2 Yıllık,Hayır,Elektronik,74.85,2181.75,Yok
Erkek,Hayır,Bekar,Yok,3,Var,Yok,DSL,Yok,Yok,Yok,Var,Yok,Yok,1 Aylık,Evet,Mail,50.5,147.75,Yok
Erkek,Hayır,Bekar,Yok,11,Var,Yok,Fiber Optik,Yok,Yok,Var,Yok,Yok,Yok,1 Aylık,Hayır,Elektronik,72.9,818.45,Yok
Kadın,Hayır,Bekar,Yok,62,Var,Var,Fiber Optik,Var,Var,Var,Var,Var,Var,1 Yıllık,Evet,Kredi Kartı,115.05,7133.45,Yok
Erkek,Hayır,Bekar,Yok,18,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Elektronik,19.0,348.8,Yok
Erkek,Hayır,Bekar,Var,6,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Mail,19.55,128.6,Yok
Kadın,Hayır,Bekar,Yok,46,Var,Var,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,1 Yıllık,Evet,Elektronik,101.1,4674.4,Yok
Erkek,Hayır,Bekar,Yok,21,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Var,1 Aylık,Evet,Elektronik,84.1,1737.45,Yok
Erkek,Hayır,Bekar,Yok,68,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Evet,Havale,24.15,1498.85,Yok
Kadın,Hayır,Bekar,Yok,1,Var,Var,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,50.1,50.1,Yok
Kadın,Hayır,Evli,Yok,25,Var,Yok,Fiber Optik,Yok,Yok,Var,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,74.6,1797.75,Yok
Kadın,Hayır,Bekar,Var,24,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Mail,19.75,498.1,Yok
Kadın,Hayır,Evli,Yok,30,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Var,1 Aylık,Evet,Elektronik,85.0,2624.25,Var
Kadın,Hayır,Bekar,Yok,2,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Var,1 Aylık,Hayır,Elektronik,80.55,184.1,Var
Erkek,Hayır,Evli,Yok,51,Var,Var,Fiber Optik,Yok,Var,Var,Yok,Var,Var,1 Yıllık,Evet,Havale,106.8,5498.8,Yok
Kadın,Hayır,Evli,Var,57,Var,Var,DSL,Var,Yok,Var,Var,Var,Var,2 Yıllık,Evet,Elektronik,84.5,4845.4,Yok
Kadın,Hayır,Bekar,Yok,15,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Havale,25.05,369.1,Yok
Kadın,Hayır,Evli,Var,72,Var,Yok,DSL,Var,Var,Var,Var,Var,Var,2 Yıllık,Evet,Havale,83.7,6096.9,Yok
Kadın,Hayır,Bekar,Yok,2,Var,Yok,Fiber Optik,Yok,Yok,Var,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,75.8,160.75,Var
Erkek,Hayır,Evli,Yok,28,Var,Var,Fiber Optik,Yok,Var,Var,Yok,Var,Yok,1 Aylık,Hayır,Kredi Kartı,96.6,2684.35,Yok
Erkek,Evet,Evli,Yok,29,Var,Var,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,1 Aylık,Evet,Elektronik,98.5,3004.15,Var
Erkek,Hayır,Evli,Var,70,Var,Yok,Fiber Optik,Var,Var,Var,Var,Var,Yok,2 Yıllık,Evet,Kredi Kartı,101.1,6994.8,Yok
Kadın,Hayır,Bekar,Yok,13,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Yıllık,Hayır,Mail,20.2,273.25,Yok
Kadın,Evet,Evli,Yok,59,Var,Var,Fiber Optik,Var,Var,Var,Var,Yok,Yok,1 Yıllık,Evet,Elektronik,94.05,5483.9,Yok
Erkek,Evet,Evli,Yok,13,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,95.25,1233.65,Var
Erkek,Evet,Evli,Yok,7,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Mail,74.4,527.9,Var
Kadın,Hayır,Evli,Yok,62,Var,Yok,DSL,Var,Yok,Var,Var,Var,Var,2 Yıllık,Hayır,Mail,81.0,4985.9,Yok
Kadın,Hayır,Bekar,Yok,21,Var,Yok,DSL,Var,Yok,Var,Var,Yok,Yok,1 Yıllık,Evet,Elektronik,60.25,1258.35,Yok
Kadın,Hayır,Bekar,Yok,2,Var,Yok,DSL,Yok,Yok,Var,Yok,Yok,Var,1 Aylık,Hayır,Elektronik,60.85,111.4,Yok
